Rank	EntrezID	Symbol	Score
1	57492	ARID1B	7.476
2	9839	ZEB2	7.177
3	1387	CREBBP	4.218
4	4204	MECP2	4.156
5	2200	FBN1	3.889
6	5781	PTPN11	3.585
7	7528	YY1	3.018
8	6792	CDKL5	2.504
9	4297	KMT2A	2.299
10	6595	SMARCA2	2.267
11	259232	NALCN	1.936
12	171023	ASXL1	1.893
13	10743	RAI1	1.714
14	6872	TAF1	1.427
15	7862	BRPF1	1.375
16	8289	ARID1A	1.004
17	54872	PIGG	0.724
18	23522	KAT6B	0.661
19	2313	FLI1	0.559
20	1859	DYRK1A	0.492
21	1654	DDX3X	0.415
22	54496	PRMT7	0.284
23	6598	SMARCB1	0.247
24	55869	HDAC8	0.22
25	26040	SETBP1	0.121
26	23545	ATP6V0A2	0.017
27	10785	WDR4	-0.144
28	2033	EP300	-0.165
29	51633	OTUD6B	-0.247
30	25836	NIPBL	-0.329
31	64324	NSD1	-0.383
32	523	ATP6V1A	-0.452
33	2623	GATA1	-0.513
34	4000	LMNA	-0.602
35	55023	PHIP	-0.7
36	5977	DPF2	-0.926
37	84992	PIGY	-0.947
38	63895	PIEZO2	-0.958
39	529	ATP6V1E1	-0.985
40	23126	POGZ	-1.008
41	1717	DHCR7	-1.016
42	8243	SMC1A	-1.059
43	4893	NRAS	-1.066
44	55777	MBD5	-1.101
45	10466	COG5	-1.15
46	673	BRAF	-1.165
47	2475	MTOR	-1.167
48	6197	RPS6KA3	-1.205
49	1947	EFNB1	-1.269
50	9320	TRIP12	-1.324
51	4683	NBN	-1.325
52	9652	TTC37	-1.409
53	80204	FBXO11	-1.433
54	55209	SETD5	-1.45
55	10847	SRCAP	-1.495
56	5604	MAP2K1	-1.51
57	9382	COG1	-1.531
58	3480	IGF1R	-1.575
59	55784	MCTP2	-1.586
60	5605	MAP2K2	-1.632
61	196528	ARID2	-1.642
62	175	AGA	-1.722
63	10283	CWC27	-1.737
64	3265	HRAS	-1.759
65	8558	CDK10	-1.762
66	23384	SPECC1L	-1.765
67	2332	FMR1	-1.903
68	23404	EXOSC2	-1.932
69	6812	STXBP1	-1.951
70	25942	SIN3A	-1.956
71	4621	MYH3	-1.982
72	29123	ANKRD11	-2.061
73	9968	MED12	-2.072
74	6925	TCF4	-2.097
75	4784	NFIX	-2.113
76	93210	PGAP3	-2.175
77	57459	GATAD2B	-2.212
78	10075	HUWE1	-2.268
79	374654	KIF7	-2.285
80	6261	RYR1	-2.288
81	56975	FAM20C	-2.331
82	117581	TWIST2	-2.349
83	6309	SC5D	-2.357
84	6016	RIT1	-2.371
85	1968	EIF2S3	-2.406
86	10735	STAG2	-2.44
87	5087	PBX1	-2.458
88	11253	MAN1B1	-2.474
89	4041	LRP5	-2.507
90	546	ATRX	-2.523
91	158	ADSL	-2.597
92	71	ACTG1	-2.629
93	10978	CLP1	-2.63
94	5831	PYCR1	-2.676
95	2316	FLNA	-2.704
96	203068	TUBB	-2.717
97	84942	WDR73	-2.72
98	55636	CHD7	-2.739
99	284058	KANSL1	-2.775
100	2317	FLNB	-2.823
